2026-05-02 20:42:56 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_8:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:42:56 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_8:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:42:56 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_8:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_8 ended
2026-05-02 20:42:56 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_9:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_8 was forcibly ended. Created a new experiment 'exp0-rapidfire-full-evaluation_9' with Experiment ID: 12 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_9
2026-05-02 20:43:15 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp0-rapidfire-full-evaluation_9:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 20:43:15 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp0-rapidfire-full-evaluation_9:Experiment] Creating MLflow experiment: exp0-rapidfire-full-evaluation_9
2026-05-02 20:43:16 | Experiment | INFO | experiment.py:210 | [exp0-rapidfire-full-evaluation_9:Experiment] Initialized MetricLogger experiment: 3
2026-05-02 20:43:16 | Experiment | INFO | experiment.py:226 | [exp0-rapidfire-full-evaluation_9:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 20:46:34 | Experiment | WARNING | experiment.py:381 | [exp0-rapidfire-full-evaluation_9:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 20:46:34 | Experiment | INFO | experiment.py:383 | [exp0-rapidfire-full-evaluation_9:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 1 actors)
2026-05-02 20:46:34 | Experiment | INFO | experiment.py:392 | [exp0-rapidfire-full-evaluation_9:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 20:46:34 | Controller | INFO | controller.py:895 | [exp0-rapidfire-full-evaluation_9:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 20:46:34 | Controller | INFO | controller.py:900 | [exp0-rapidfire-full-evaluation_9:Controller] Received 2 pipeline configuration(s)
2026-05-02 20:46:34 | Controller | INFO | controller.py:309 | [exp0-rapidfire-full-evaluation_9:Controller] Found 1 unique RAG context(s)
2026-05-02 20:46:34 | Controller | INFO | controller.py:320 | [exp0-rapidfire-full-evaluation_9:Controller] Will build new context afc1924e...
2026-05-02 20:46:34 | Controller | INFO | controller.py:346 | [exp0-rapidfire-full-evaluation_9:Controller] Building 1 context(s) in parallel...
2026-05-02 20:46:34 | Controller | INFO | controller.py:373 | [exp0-rapidfire-full-evaluation_9:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-02 20:46:36 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-02 20:46:36 | Controller | INFO | controller.py:461 | [exp0-rapidfire-full-evaluation_9:Controller] Submitted 1 build task(s) in parallel
2026-05-02 20:47:06 | Controller | INFO | controller.py:482 | [exp0-rapidfire-full-evaluation_9:Controller] Built context 1 (afc1924e...) successfully in 31.06s
2026-05-02 20:47:06 | Controller | INFO | controller.py:523 | [exp0-rapidfire-full-evaluation_9:Controller] Completed parallel context building for 1 context(s)
2026-05-02 20:47:06 | Controller | INFO | controller.py:920 | [exp0-rapidfire-full-evaluation_9:Controller] Created 1 query processing actors (generic pool)
2026-05-02 20:47:06 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp0-rapidfire-full-evaluation_9:Experiment] Created MLflow run: 845552fb575645ba88dc94e2184abcf8, 1
2026-05-02 20:47:06 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp0-rapidfire-full-evaluation_9:Experiment] Created MLflow run: 898749adb97942228af3ccd587dd185c, 2
2026-05-02 20:47:06 | Controller | INFO | controller.py:931 | [exp0-rapidfire-full-evaluation_9:Controller] Initialized scheduler with 2 pipelines, 1 actors, 4 shards
2026-05-02 20:47:06 | Controller | INFO | controller.py:1118 | [exp0-rapidfire-full-evaluation_9:Controller] Created experiment-wide rate limiter actor for 2 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-02 20:47:06 | Controller | INFO | controller.py:1124 | [exp0-rapidfire-full-evaluation_9:Controller] Starting multi-pipeline inference scheduling...
