2026-05-04 19:50:46 | Experiment | INFO | experiment.py:165 | [exp2-rapidfire-full-evaluation:Experiment] Experiment exp2-rapidfire-full-evaluation created with Experiment ID: 20 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp2-rapidfire-full-evaluation
2026-05-04 19:51:05 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp2-rapidfire-full-evaluation:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-04 19:51:05 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp2-rapidfire-full-evaluation:Experiment] Creating MLflow experiment: exp2-rapidfire-full-evaluation
2026-05-04 19:51:05 | Experiment | INFO | experiment.py:210 | [exp2-rapidfire-full-evaluation:Experiment] Initialized MetricLogger experiment: 10
2026-05-04 19:51:05 | Experiment | INFO | experiment.py:226 | [exp2-rapidfire-full-evaluation:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-04 19:51:08 | Experiment | WARNING | experiment.py:381 | [exp2-rapidfire-full-evaluation:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-04 19:51:08 | Experiment | INFO | experiment.py:383 | [exp2-rapidfire-full-evaluation:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 1 actors)
2026-05-04 19:51:08 | Experiment | INFO | experiment.py:392 | [exp2-rapidfire-full-evaluation:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-04 19:51:08 | Controller | INFO | controller.py:895 | [exp2-rapidfire-full-evaluation:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-04 19:51:08 | Controller | INFO | controller.py:900 | [exp2-rapidfire-full-evaluation:Controller] Received 24 pipeline configuration(s)
2026-05-04 19:51:08 | Controller | INFO | controller.py:309 | [exp2-rapidfire-full-evaluation:Controller] Found 3 unique RAG context(s)
2026-05-04 19:51:08 | Controller | INFO | controller.py:320 | [exp2-rapidfire-full-evaluation:Controller] Will build new context c9ba4076...
2026-05-04 19:51:08 | Controller | INFO | controller.py:320 | [exp2-rapidfire-full-evaluation:Controller] Will build new context b74fd3f5...
2026-05-04 19:51:08 | Controller | INFO | controller.py:320 | [exp2-rapidfire-full-evaluation:Controller] Will build new context 3965daea...
2026-05-04 19:51:08 | Controller | INFO | controller.py:346 | [exp2-rapidfire-full-evaluation:Controller] Building 3 context(s) in parallel...
2026-05-04 19:51:08 | Controller | INFO | controller.py:373 | [exp2-rapidfire-full-evaluation:Controller] Creating 3 DocProcessingActor(s) for parallel processing
2026-05-04 19:51:10 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-04 19:51:10 | Controller | INFO | controller.py:461 | [exp2-rapidfire-full-evaluation:Controller] Submitted 3 build task(s) in parallel
2026-05-04 19:51:30 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 19:51:31 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 19:51:31 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 19:51:32 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 19:51:32 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 19:51:33 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 19:51:33 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 19:51:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 19:51:34 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 19:51:34 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 19:51:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 19:51:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 19:51:40 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 19:51:40 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 19:51:40 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 415844 bytes
2026-05-04 19:51:40 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 19:51:41 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 19:51:41 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 19:51:41 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 839828 bytes
2026-05-04 19:51:41 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 19:51:42 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 19:51:42 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 19:51:42 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 1734392 bytes
2026-05-04 19:51:42 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 19:51:42 | Controller | INFO | controller.py:482 | [exp2-rapidfire-full-evaluation:Controller] Built context 1 (c9ba4076...) successfully in 33.57s
2026-05-04 19:51:42 | Controller | INFO | controller.py:482 | [exp2-rapidfire-full-evaluation:Controller] Built context 2 (b74fd3f5...) successfully in 33.57s
2026-05-04 19:51:42 | Controller | INFO | controller.py:482 | [exp2-rapidfire-full-evaluation:Controller] Built context 3 (3965daea...) successfully in 33.59s
2026-05-04 19:51:42 | Controller | INFO | controller.py:523 | [exp2-rapidfire-full-evaluation:Controller] Completed parallel context building for 3 context(s)
2026-05-04 19:51:42 | Controller | INFO | controller.py:920 | [exp2-rapidfire-full-evaluation:Controller] Created 1 query processing actors (generic pool)
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 1db8b77dd9ba49ffa2c99e670e868eb8, 1
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 885c61fa475f4dd489381db0b383a01f, 2
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 47a73848ea2c4ed7a07eacd48dbb30c5, 3
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 2064b4f5297a471e8da40776ed623e74, 4
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 206de76c475941e19fbdab7b4ed9e86b, 5
2026-05-04 19:51:42 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: b893345e59d84fa49fed4ef98e219e82, 6
2026-05-04 19:51:43 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 297c8effe2204a8db52de1204e927e9f, 7
2026-05-04 19:51:43 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: babf744a73924232b21a11b33dd7b7b8, 8
2026-05-04 19:51:43 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp2-rapidfire-full-evaluation:Experiment] Created MLflow run: 1aeaec46a4574be2be537bc4cf2abd83, 9
