2026-05-04 21:30:23 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:30:24 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:30:25 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:30:26 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:30:26 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Building document index...
2026-05-04 21:30:27 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:30:27 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:30:27 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Building document index...
2026-05-04 21:30:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:30:28 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:30:28 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Building document index...
2026-05-04 21:30:29 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:30:33 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Document index built successfully
2026-05-04 21:30:33 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:30:33 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] FAISS index serialized: 415844 bytes
2026-05-04 21:30:33 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:30:35 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Document index built successfully
2026-05-04 21:30:35 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:30:35 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] FAISS index serialized: 839828 bytes
2026-05-04 21:30:35 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:30:36 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Document index built successfully
2026-05-04 21:30:36 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:30:36 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] FAISS index serialized: 1734392 bytes
2026-05-04 21:30:36 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Initializing new inference engine (config hash: 77a95255)
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:31:08 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 21:31:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:31:10 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 77a95255)
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:31:21 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 21:31:21 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:31:22 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
