2026-05-05 19:14:08 | DocProcessingActor | INFO | doc_actor.py:59 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:14:09 | DocProcessingActor | INFO | doc_actor.py:59 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:14:10 | DocProcessingActor | INFO | doc_actor.py:59 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:14:11 | DocProcessingActor | INFO | doc_actor.py:96 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:14:11 | DocProcessingActor | INFO | doc_actor.py:107 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:14:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:14:12 | DocProcessingActor | INFO | doc_actor.py:96 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:14:12 | DocProcessingActor | INFO | doc_actor.py:107 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:14:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:14:13 | DocProcessingActor | INFO | doc_actor.py:96 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:14:13 | DocProcessingActor | INFO | doc_actor.py:107 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:14:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:14:18 | DocProcessingActor | INFO | doc_actor.py:109 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-05 19:14:18 | DocProcessingActor | INFO | doc_actor.py:134 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 19:14:18 | DocProcessingActor | INFO | doc_actor.py:144 | [exp5-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 1395128 bytes
2026-05-05 19:14:18 | DocProcessingActor | INFO | doc_actor.py:189 | [exp5-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 19:14:19 | DocProcessingActor | INFO | doc_actor.py:109 | [exp5-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
